id,conflict_new_id,conflict_name,dyad_name,side_a,side_b,source_article,source_office,source_date,source_headline,source_original,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,high
239426,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""Agence France Presse,2017-07-31,Algerian army kills six armed Islamists: ministry"";""Reuters News,2017-07-31,Algerian army kills six armed militants: defense ministry"";""Reuters News,2017-07-31,Algerian army kills six armed militants-defence ministry""",Agence France Presse;Reuters News;Reuters News,2017-07-31;2017-07-31;2017-07-31,Algerian army kills six armed Islamists: ministry;Algerian army kills six armed militants: defense ministry;Algerian army kills six armed militants-defence ministry,defence ministry,Gouraya town,36.570556,1.9025,Algeria,Africa,31/07/2017,31/07/2017,0,6,0,0,6
240350,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""BBC Monitoring Middle East,2017-08-03,Al-Qaeda Maghreb claims attack in northern Algeria""",BBC Monitoring Middle East,03/08/2017,Al-Qaeda Maghreb claims attack in northern Algeria,AQIM,Batna town,35.555278,6.178611,Algeria,Africa,01/08/2017,01/08/2017,2,0,0,0,2
240351,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""BBC Monitoring Middle East,2017-08-03,Al-Qaeda Maghreb claims attack in northern Algeria"";""Africa Research Bulletin Volume 54 Issue 8,2017-09-14,In Brief - Algeria""",BBC Monitoring Middle East;Africa Research Bulletin Volume 54 Issue 8,2017-08-03;2017-09-14,Al-Qaeda Maghreb claims attack in northern Algeria;In Brief - Algeria,Algerian army,Safsafa locality,36.48246,1.90764,Algeria,Africa,01/08/2017,01/08/2017,0,8,0,0,8
244842,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""BBC Monitoring Middle East,2017-10-12,Algeria says 16 'terrorists' killed in 'September offensive'"";""Africa Research Bulletin,2017-10-31,In Brief: Algeria""",BBC Monitoring Middle East;Africa Research Bulletin,2017-10-12;2017-10-31,Algeria says 16 'terrorists' killed in 'September offensive';In Brief: Algeria,"NAtional Army, Ministry of DEfense ",Bejaia province,36.666667,4.916667,Algeria,Africa,01/09/2017,30/09/2017,0,3,0,0,3
247486,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""ICG,2017-12-01,Crisiswatch - Algeria - November 2017 """,ICG,01/12/2017,Crisiswatch - Algeria - November 2017 ,ICG Crisiswatch,Bouira town,36.38,3.901389,Algeria,Africa,07/11/2017,07/11/2017,0,2,0,0,2
253192,387,Angola:Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,,,,,,Cabinda province,-5,12.5,Angola,Africa,01/01/2017,31/12/2017,0,0,0,7,0
240899,387,Angola:Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,"""ICG,2017-01-31,Angola  JANUARY 2017"";""Ag̻ncia Lusa,2017-01-24,Separatistas de Cabinda reivindicam autoria da morte de dois militares angolanos""",ICG;Ag̻ncia Lusa,2017-01-31;2017-01-24,Angola  JANUARY 2017;Separatistas de Cabinda reivindicam autoria da morte de dois militares angolanos,FLEC-FAC,Massabi region,-4.95,12.18,Angola,Africa,23/01/2017,23/01/2017,0,0,0,0,2
236618,387,Angola:Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,"""Agence France Presse,2017-02-15,Separatists claim to have killed Angolan soldiers""",Agence France Presse,15/02/2017,Separatists claim to have killed Angolan soldiers,"Jean-Claude Nzita, spokesman for the Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda (FLEC-FAC) separatist group.",Cabinda province,-5,12.5,Angola,Africa,01/02/2017,14/02/2017,0,0,0,0,18
241227,387,Angola:Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,"""Ag̻ncia Lusa,2017-02-13,Independentistas de Cabinda reivindicam morte de 18 militares angolanos""",Ag̻ncia Lusa,13/02/2017,Independentistas de Cabinda reivindicam morte de 18 militares angolanos,,Cabinda province,-5,12.5,Angola,Africa,03/02/2017,06/02/2017,0,0,0,0,6
241228,387,Angola:Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,"""Ag̻ncia Lusa,2017-02-13,Independentistas de Cabinda reivindicam morte de 18 militares angolanos""",Ag̻ncia Lusa,13/02/2017,Independentistas de Cabinda reivindicam morte de 18 militares angolanos,FLEC-FAC,Cabinda province,-5,12.5,Angola,Africa,03/02/2017,06/02/2017,0,0,0,0,3
